customer_id,first_name,last_name,gender,email,phone_number,address,city,country,birthdate,age
1,Kayla,Wright,M,test@,+1-715-502-3950,07791 Matthew Meadows Suite 458,Thomasstad,Spain,2001-11-16,25
2,Shirley,Boyd,M,erika73@example.net,+1-321-637-9301,4537 Derek Avenue,Parkerside, China ,1959-12-03,67
3,Claudia,Williamson,male,amber86@example.com,+1-326-803-4341,10381 Johnson Turnpike Suite 504,Marilynport,CN,2006-10-18,20
4,Chad,Johnson,F,jamie21@example.com,+1-617-681-4187,550 Burgess Green,Port Coreyville,CN,1996-02-21,30
5,Rachel,Jones,F,finleyhannah@example.com,+1-330-735-7650,0441 Anderson Mills,Samuelshire,Nigeria,1958-09-02,68
6,Daniel,Bradley,F,shari90@example.com,+1-557-563-5319,0727 Torres Crossroad,Doyleburgh,uk ,1963-02-19,63
7,Frank,Garcia,M,moorepaul@example.net,+1-204-464-4024,3371 Fry Island Apt. 756,Wernerside, China ,1955-04-07,71
8,Mark,Miller,M,matthewjohnson@example.org,+1-757-266-2441,37524 Hardy Squares Apt. 443,East Nichole,Nigeria,2002-09-14,24
9,Stephanie,Pena,,qrodgers@example.net,+1-420-764-6486,3262 Morris Fall Apt. 919,Port Drew,IN,1979-12-28,47
10,James,Jones,M,gary63@example.org,+1-984-433-5093,64364 Emily Way,South Adriana, Mexico ,1957-01-27,69
11,Matthew,Burgess,,invalid_email,+1-837-234-7363,220 Amanda Camp Suite 452,North Thomas,Brazil,1958-05-05,68
12,Jake,Owens,M,russelllawrence@example.net,+1-513-838-2729,1594 Troy Pike,Alicialand,IN,1976-05-14,50
13,Amber,Smith,,phillipsgary@example.com,+1-618-665-2954,414 Brenda Haven,Romanport, Germany,2001-05-01,25
14,Edwin,Stout,F,invalid_email,+1-705-884-5084,159 Blair Light Suite 697,Mirandaland, China ,1993-02-16,33
15,Alex,Meyer,M,billymurray@example.com,+1-577-340-9381,608 Debbie Manors Suite 853,Dunnton,ca,1984-05-20,42
16,Theresa,Hutchinson,F,,+1-795-412-2919,27212 Janice Plains Suite 824,Ramirezfort, Germany,1976-07-30,50
17,Marcus,Khan,female,troylee@example.net,+1-504-573-3349,36133 Walters Centers,Port Erinberg,CANADA,1983-03-05,43
18,Gregory,Moore,F,maxcrawford@example.net,+1-492-400-5504,086 Julie Fields Suite 812,West Nancyland,france,1960-07-14,66
19,Marvin,Leonard,female,robyn78@example.com,+1-584-953-7085,5203 Mitchell Villages,Hayesport,us,1958-12-07,68
20,Stephen,Huffman,male,xchambers@example.org,+1-688-870-2702,39610 Wilson Oval,Williamsside,AU,1964-04-06,62
21,Stacy,Gonzalez,M,lisahardy@example.org,+1-834-204-1329,506 Gregory Valley Apt. 545,Bairdmouth,us,1976-02-11,50
22,Crystal,Arroyo,,iankim@example.org,+1-210-576-1569,1939 Simmons Crossing Apt. 806,Jordanland, China ,1992-01-21,34
23,Stacey,Larsen,,ghenson@example.org,+1-230-496-9169,955 Lopez Brook,New Jessica,australia,1996-05-02,30
24,Carrie,Perez,male,brownmaria@example.com,+1-201-430-8877,3450 Mcgrath Prairie,Jacobland,JP,2000-09-02,26
25,Brandon,Chase,male,walter03@example.org,+1-489-279-3321,10543 Johnson Forge,Lake Jennifertown,CANADA,1985-12-09,41
26,Cindy,Fuentes,F,barbara39@example.net,+1-876-797-4527,860 Jill Bypass,Teresaborough,CANADA,1958-11-13,68
27,Dennis,Dodson,F,jparker@example.org,+1-556-252-4327,309 Jessica Prairie Apt. 621,New Nicole,IN,2002-11-29,24
28,Kathryn,Johnson,male,brent67@example.com,+1-765-985-7666,519 Johnson Alley,South Matthewport, India ,1962-04-20,64
29,Andrew,Martin,M,invalid_email,+1-866-808-9248,25151 Ronald Landing,Delacruzstad, India ,2001-11-18,25
30,Trevor,Brown,,test@,+1-200-214-9975,278 Sara Light,East Jon, Italy ,1957-09-04,69
31,Anna,Knapp,female,danaavila@example.com,+1-900-902-1529,284 Anderson Meadow,Taylormouth, Italy ,1963-02-22,63
32,William,Carrillo,M,test@,+1-550-614-7900,399 Wood Green Apt. 317,Joshuachester,us,1975-03-13,51
33,James,Yang,,marytyler@example.org,+1-271-981-3778,7605 Anita Village Suite 083,Sharonshire,france,1987-03-21,39
34,Dustin,Ayala,male,stacycoleman@example.net,+1-761-812-6753,56792 Daniel Fall Apt. 320,Jonesfort,Nigeria,1982-11-08,44
35,Regina,Harvey,male,bradley17@example.net,+1-315-510-6908,01052 Jacob Bypass Apt. 292,Lynchberg, Italy ,1974-01-12,52
36,Jon,Smith,,michelle70@example.com,+1-703-468-9184,11853 Juan Square,Fischerfort, Italy ,1984-11-22,42
37,Elizabeth,Phillips,female,,+1-215-914-3514,6831 Benjamin Expressway,North Kimberlyfort, India ,1983-12-01,43
38,Kevin,West,,dbright@example.org,+1-836-534-4014,40080 Tina Wall,North Jill,japan,1992-04-03,34
39,Kayla,Curry,female,laura53@example.com,+1-247-828-1759,615 Sarah Circle,South Brett, Germany,1991-08-01,35
40,Kevin,Mann,M,,+1-481-985-2156,7381 Mcgee Ranch,East Carla,ca,1976-11-02,50
41,Xavier,Webb,male,garzaedward@example.org,+1-786-662-7380,34229 Swanson Square,Port Devon,USA,2006-04-09,20
42,Andrea,Paul,male,bakersteven@example.org,+1-402-520-6711,7988 Evans Tunnel Apt. 317,Arielchester,australia,1996-06-19,30
43,Vanessa,Wheeler,F,rebeccabeck@example.org,+1-935-912-1741,198 Martha River Apt. 450,New Christopherland, China ,2002-06-17,24
44,Brian,Hunt,M,christian39@example.org,+1-811-271-4464,8493 Andrew Glen Suite 979,West Anthony, United States ,1958-11-29,68
45,Brittany,Scott,M,daniel80@example.net,+1-317-378-6439,5414 Kelly Isle,West Brenda,japan,1982-02-25,44
46,Eric,Dickerson,F,markbarber@example.org,+1-424-740-5315,41695 Harrison Ways,Allenport,USA,1976-04-11,50
47,Miguel,Stephenson,male,smithchristine@example.org,+1-997-208-1963,77111 Walker Forest,North Amandaland,CANADA,1982-07-22,44
48,Alexander,Brown,M,uarmstrong@example.net,+1-437-327-5747,7241 Elizabeth Squares Suite 611,Jasmineshire,CN,1964-08-21,62
49,Jamie,Mclaughlin,F,invalid_email,+1-421-313-3850,369 Evans Inlet Suite 742,Martinezhaven, India ,1959-05-31,67
50,Sandra,Roth,,morgansmith@example.org,+1-698-481-8185,206 Shannon Drives Apt. 573,East Heather, China ,1974-11-18,52
51,Tony,Goodwin,female,andrew65@example.net,+1-582-275-8212,728 Harmon Shore Apt. 683,Lake Debrafort,FR,1967-03-13,59
52,Tracy,Smith,male,stephanieneal@example.net,+1-754-257-4343,2979 Wright Creek Apt. 830,West Karen,australia,1963-04-04,63
53,Mallory,Webb,female,,+1-530-686-7516,062 Johnny Trail Apt. 038,North Jamie,AU,1985-01-05,41
54,Valerie,Mckee,male,,+1-426-671-6787,9618 White Viaduct,South Travisstad,uk ,2004-10-25,22
55,Michael,Smith,,invalid_email,+1-724-246-4356,5783 Bradshaw Crest,Richardtown,japan,1981-11-14,45
56,Leslie,Decker,male,,+1-870-407-5735,8616 Stacey Squares,Lorichester, India ,1986-06-16,40
57,Julie,Marshall,male,,+1-444-397-1726,434 Castillo Ford Apt. 890,Port Eileenshire,IN,2002-04-24,24
58,Brandon,Grimes,,upowell@example.org,+1-407-438-2929,3335 Newman Groves Apt. 810,Howardstad,brazil ,1974-11-16,52
59,Elizabeth,Little,male,claytonmark@example.com,+1-684-964-5762,9635 Christopher Place,New Michael, China ,1976-08-15,50
60,Garrett,Ho,M,martha98@example.net,+1-910-462-3930,21234 Brown Way,Lake Erin,Spain,1998-09-15,28
61,Wendy,Russell,F,jacobhorn@example.net,+1-680-259-3489,82310 Kimberly Plains Apt. 536,Port Alexisbury,brazil ,1988-07-16,38
